code,name,date,bias1,bias2,bias3,boll,boll_upper,boll_lower,cci,kdj_k,kdj_d,kdj_j,macd_dif,macd_dea,macd_hist,open,high,low,close,settle_price,pct_change,turnover_million,volume,open_interest,rsi1,rsi2,rsi3,ma5,ma10,ma20,wr,mtm,mtmma,obv,po_net_holding_10k,vr,sd,vs_basis,turnover_rate_hs300
IF.CFE,沪深300期货,2010-10-21,1.12,4.68,10.88,1990.8,2236.9,1744.6,105.14,89.0,88.52,89.98,83.3048,55.7048,55.2,3468.8,3492.8,3406.8,3448.8,3447.8,-0.0006,336997.98,325384.0,29059,82.29,79.36,69.85,320000.0,250000.0,210000.0,12.26,305.8,101.05,0.0,-1688.0,0.0,0.0,74.12,0.0101
IF.CFE,沪深300期货,2010-10-22,1.18,3.96,10.59,2001.7,2265.2,1738.3,97.43,88.33,88.46,88.09,87.0762,61.9791,50.1943,3455.6,3499.0,3426.8,3465.4,3458.6,0.0051,305331.37,293741.0,29639,83.39,80.04,70.39,320000.0,260000.0,220000.0,11.49,251.01,111.76,2937.0,-2969.0,0.0,0.0,86.74,0.0095
IF.CFE,沪深300期货,2010-10-25,3.61,6.75,13.88,2016.1,2307.7,1724.5,118.23,92.07,89.66,96.88,96.2742,68.8381,54.8722,3485.0,3608.0,3460.0,3606.0,3581.2,0.0426,272172.91,256963.0,30526,89.82,84.7,74.43,310000.0,270000.0,220000.0,0.43,287.53,125.16,5507.0,-3035.0,0.0,0.0,124.92,0.011899999999999999
IF.CFE,沪深300期货,2010-10-26,1.45,4.16,11.21,2029.2,2339.3,1719.2,109.3,89.6,89.64,89.52,99.9237,75.0552,49.7368,3608.2,3618.0,3521.0,3558.2,3562.8,-0.0064,253242.22,235559.0,29142,77.57,77.95,70.99,300000.0,270000.0,220000.0,13.77,245.64,139.43,3151.0,-2697.0,0.0,0.0,92.12,0.0116
IF.CFE,沪深300期货,2010-10-27,-0.72,1.34,8.03,2041.9,2360.4,1723.4,84.24,81.96,87.08,71.71,98.0315,79.6505,36.7621,3562.8,3606.2,3473.4,3488.0,3508.4,-0.021,323156.68,303622.0,30275,62.55,69.13,66.3,280000.0,280000.0,230000.0,33.33,166.44,149.82,115.0,-2101.0,0.0,0.0,84.13,0.0101
IF.CFE,沪深300期货,2010-10-28,-0.35,1.31,7.79,2055.3,2381.3,1729.3,71.23,76.15,83.43,61.57,96.7597,83.0723,27.3747,3496.0,3537.8,3486.2,3513.8,3512.4,0.0015,261636.29,248247.0,30001,65.5,70.47,67.13,270000.0,290000.0,230000.0,26.72,170.18,162.53,2598.0,-3482.0,0.0,0.0,116.11,0.008
IF.CFE,沪深300期货,2010-10-29,-2.76,-1.47,4.07,2065.8,2393.1,1738.5,21.97,61.37,76.08,31.95,89.8334,84.4245,10.8177,3492.4,3498.0,3401.6,3420.0,3435.0,-0.0263,276152.2,266654.0,26397,48.75,60.12,61.37,260000.0,290000.0,230000.0,67.39,18.06,167.82,-69.0,-4370.0,0.0,0.0,40.02,0.008199999999999999
IF.CFE,沪深300期货,2010-11-01,1.37,1.76,7.16,2079.6,2414.1,1745.1,72.33,65.56,72.57,51.54,90.3407,85.6078,9.4659,3449.8,3576.0,3443.2,3555.2,3562.2,0.035,240564.2,227693.0,29004,64.46,67.6,65.79,260000.0,280000.0,240000.0,21.63,145.67,178.38,2208.0,-3605.0,0.0,0.0,82.2,0.0103
IF.CFE,沪深300期货,2010-11-02,0.14,-0.03,4.58,2093.2,2426.8,1759.7,70.07,58.93,68.02,40.73,86.8885,85.8639,2.0492,3559.4,3587.8,3498.2,3500.4,3518.8,-0.0173,276601.99,260699.0,27851,56.1,62.42,62.76,260000.0,280000.0,240000.0,48.8,49.42,182.99,-399.0,-3208.0,0.0,0.0,37.27,0.0126
IF.CFE,沪深300期货,2010-11-03,-0.58,-0.87,2.88,2107.5,2432.8,1782.1,17.36,50.16,62.07,26.34,81.7425,85.0396,-6.5943,3533.0,3534.4,3451.0,3472.2,3475.6,-0.0132,300914.31,286579.0,26533,51.94,59.85,61.24,260000.0,270000.0,250000.0,67.38,9.03,185.27,-3265.0,-4590.0,0.0,0.0,51.86,0.0103
IF.CFE,沪深300期货,2010-11-04,0.87,0.41,3.59,2123.0,2439.7,1806.3,38.69,52.42,58.85,39.55,79.486,83.9289,-8.8859,3487.6,3538.0,3472.6,3524.8,3516.6,0.0142,248525.13,236016.0,26412,58.78,62.95,62.98,260000.0,260000.0,250000.0,43.07,49.03,188.49,-905.0,-5296.0,0.0,0.0,44.3,0.0095
IF.CFE,沪深300期货,2010-11-05,1.47,1.6,4.39,2140.0,2446.7,1833.2,133.92,60.69,59.46,63.14,79.55,83.0531,-7.0062,3569.0,3630.0,3563.4,3578.0,3577.0,0.0175,217847.57,202498.0,23710,64.86,65.87,64.66,240000.0,250000.0,260000.0,22.77,72.64,189.6,1120.0,-5373.0,0.0,0.0,57.2,0.011200000000000002
IF.CFE,沪深300期货,2010-11-08,1.38,1.72,3.8,2157.0,2449.3,1864.7,108.58,66.44,61.79,75.73,78.776,82.1977,-6.8435,3595.0,3595.8,3557.0,3579.6,3573.6,0.0007,151491.6,141259.0,22742,65.04,65.96,64.71,230000.0,240000.0,250000.0,22.07,-17.03,181.99,2533.0,-4180.0,0.0,0.0,31.03,0.0091
