代码,名称,日期,BIAS1,BIAS2,BIAS3,BOLL,UPPER,LOWER,CCI,K,D,J,DIF,DEA,MACD,开盘价(元),最高价(元),最低价(元),收盘价(元),结算价,涨跌幅,成交额(百),成交量,持仓量,RSI1,RSI2,RSI3,MA(5)(),MA(10)(),MA(20)(),W&R,MTM,MTMMA,OBV(),PO（前20机构净持仓）元,VR,SD（标准差）,VS(期现差),（沪深300）换手率,中国:CPI:定基指数,中国:PPI:定基指数,中国:PPIRM:累计同比,上证综合指数,上证综合指数:涨跌幅,陆股通:当日成交金额(人民币),沪深300指数,创业板指数,创业板指数:涨跌幅,中国:国债到期收益率:10年,即期汇率:美元兑离岸人民币(USDCNH),美国:国债收益率:10年,美国:有效联邦基金利率(EFFR)
IF.CFE,沪深300期货,42009,3.68,6.23,8.17,1859.1,2111.7,1606.5,195.5,79.35,71.56,94.93,95.0295,94.0524,1.9542,3619,3768.8,3585.2,3671.4,3718.6,0.03,1432621.14,1303810,138633,79.88,74.53,73.07,160,163,166,16.99,101.95,162.8,-4.9,-2.35,181.62,71.17,29.86,2.10%,114,97.2,-5.16,3350.52,3.58,59.99,3641.54,1464.77,-0.47,3.67,6.23,2.4,0.12
IF.CFE,沪深300期货,42010,2.27,5.34,7.09,1877.6,2115.7,1639.4,155.97,79.72,74.28,90.6,97.0027,94.6424,4.7205,3664,3707.8,3610,3656.8,3659.4,-0.02,1672543.65,1522728,127237,76.58,73.03,72.23,154,163,163,19.54,86.72,150.48,-6.5,-2.48,176.9,75.42,15.74,1.95%,114,97.2,-5.16,3351.45,0.03,65.41,3641.59,1539.83,5.12,3.63,6.23,1.97,0.12
IF.CFE,沪深300期货,42011,1.38,4.73,6.84,1894.6,2119.9,1669.3,127.63,80.34,76.3,88.42,97.7311,95.2602,4.9418,3655.8,3684.2,3615.4,3663.2,3654.8,0,1419711.61,1294935,114534,77.08,73.29,72.38,146,159,160,18.42,148.75,139.17,-5.2,-2.32,173.16,81.52,19.41,1.48%,114,97.2,-5.16,3373.95,0.67,37.45,3643.79,1523.39,-1.68,3.65,6.21,1.96,0.12
IF.CFE,沪深300期货,42012,-1.85,1.12,3.35,1909.8,2107.9,1711.7,72.2,73.48,75.36,69.73,92.6359,94.7353,-4.1989,3676.6,3679.6,3553,3562,3588.2,-0.03,1689177.36,1565105,105242,54.94,62.95,66.63,141,159,155,36.08,140.41,134.17,-6.7,-3.01,143.36,77.25,2.74,1.37%,114,97.2,-5.16,3293.46,-2.39,44.51,3559.26,1541.89,1.21,3.66,6.22,2.3,0.12
IF.CFE,沪深300期货,42013,-2.44,-0.61,2.01,1921.5,2099.4,1743.5,54.56,62.98,71.23,46.47,86.0588,93,-13.8824,3570,3718,3511,3528,3596.2,-0.02,1851708.05,1713171,88364,49.24,59.85,64.83,148,158,153,46.85,151.68,127.86,-8.4,-2.91,118.72,74.93,-18.72,1.62%,114,97.2,-5.16,3285.41,-0.24,54.87,3546.72,1553.24,0.74,3.63,6.22,1.98,0.12
IF.CFE,沪深300期货,42016,-1.45,-0.78,1.89,1932,2092,1772,12.58,53.79,65.42,30.54,80.357,90.4714,-20.2288,3567,3575,3463.6,3537.6,3533.8,-0.02,1340928.91,1268691,81457,50.96,60.45,65.11,147,154,151,55.71,88.3,119.27,-7.2,-3.1,143.22,71.02,24.02,1.24%,114,97.2,-5.16,3229.32,-1.71,56.25,3513.58,1586.12,2.12,3.63,6.26,1.92,0.12
IF.CFE,沪深300期货,42017,-0.97,-1.13,1.29,1938,2094.5,1781.4,13.7,44.87,58.57,17.47,74.6141,87.3,-25.3717,3535.8,3568.8,3501.2,3529.6,3517.4,0,1171874.5,1104965,77162,49.29,59.64,64.66,139,147,149,66.82,26.28,109.39,-8.3,-3.04,122.97,66.29,15.56,0.87%,114,97.2,-5.16,3235.3,0.19,33.97,3514.4,161.17,0.95,3.68,6.2,1.91,0.12
IF.CFE,沪深300期货,42018,-0.79,-1.92,0.27,1943.7,2094.2,1793.1,-8.56,34.35,50.5,2.05,68.1219,83.4643,-30.6849,3536,3563.4,3471.6,3504.2,3497.8,0,1086020.78,1026731,63228,43.8,57,63.23,134,140,149,80.72,16.69,97.74,-9.3,-3.03,135.22,61.8,1.78,0.91%,114,97.2,-5.16,3222.44,-0.4,37.7,352.42,1588.7,-0.82,3.58,6.2,1.86,0.12
IF.CFE,沪深300期货,42019,2.3,1.1,3.42,1948.8,2103.8,1793.8,31.51,40.73,47.24,27.71,67.7775,80.327,-25.099,3548.6,3686.4,3534.2,3683.6,3650.2,0.05,873569.27,808954,101476,65.83,65.14,66.92,118,130,146,46.5,81.36,90.7,-8.5,-3.25,126.54,62.09,79.48,1.10%,114,97.2,-5.16,3336.46,3.54,48.78,364.12,1586.34,-0.15,3.52,6.19,1.77,0.12
IF.CFE,沪深300期货,42020,1.37,0.6,2.77,1957.7,2104.7,1810.8,65.96,46.43,46.97,45.36,66.0089,77.4634,-22.9089,3686.8,3714,3661.8,3667.2,3684.6,0,1314695.96,1188668,114442,62,63.41,66.01,108,128,146,51.79,9.89,79.1,-9.7,-2.88,130.93,63.32,32.05,1.31%,114,97.2,-5.16,3376.5,1.2,48.3,3635.15,1639.56,3.35,3.53,6.21,1.83,0.13
IF.CFE,沪深300期货,42023,-6.9,-7.98,-6.77,1957.2,2105.8,1808.7,-225.02,30.96,41.63,9.6,48.3256,71.6358,-46.6205,3519.8,3519.8,3316.2,3316.2,3321.8,-0.1,1094468.21,1063324,117624,24.82,39.2,50.63,104,126,144,100,-229.08,60.99,-11,-3.26,113.09,70.64,-38.96,1.52%,114,97.2,-5.16,3116.35,-7.7,55.81,3355.16,163.65,-0.58,3.48,6.22,1.83,0.13
IF.CFE,沪深300期货,42024,-3.68,-4.97,-4.35,1958.8,2103,1814.7,-181.03,27.25,36.84,8.06,37.3837,64.7854,-54.8033,3303,3448.8,3300,3394.4,3404.4,0.02,1764034.22,1734080,105907,35.21,44.36,53.17,116,128,145,80.17,-177.43,44.75,-9,-3.05,117.18,73.47,-1.82,1.38%,114,97.2,-5.16,3173.05,1.82,77.26,3396.22,17.85,4.34,3.46,6.22,1.82,0.12
IF.CFE,沪深300期货,42025,0.7,-0.24,-0.21,1963.5,2100.3,1826.8,-70.79,35.39,36.35,33.45,35.0993,58.8482,-47.4977,3405,3581.8,3405,3546,3554,0.04,1531725.84,1459796,112574,50.97,52.83,57.58,125,129,144,48.33,-96.87,39.6,-7.5,-3.54,118.26,72.39,-2.89,1.56%,114,97.2,-5.16,3323.61,4.74,72.35,3548.89,1722.58,1.28,3.47,6.22,1.87,0.12
IF.CFE,沪深300期货,42026,1.84,0.35,-0.06,1967.9,2098.4,1837.4,-27.97,44.62,39.11,55.64,33.5828,53.7951,-40.4247,3555,3595,3524.2,3561.2,3574,0,1274995.45,1192074,108107,52.36,53.61,57.99,133,126,142,45.14,-31.37,34.87,-6.4,-3.13,118.26,68.06,-6.41,1.24%,114,97.2,-5.16,3343.34,0.59,54.22,3567.61,1744.37,1.25,3.46,6.22,1.9,0.12
IF.CFE,沪深300期货,42027,3.27,1.32,0.54,1971.3,2100,1842.7,11.08,53.66,43.96,73.06,33.5974,49.7556,-32.3163,3579.6,3649,3551.6,3597,3578.6,0.01,1564936.59,1448937,103279,55.91,55.48,58.97,138,123,141,28.26,7.68,36.1,-4.9,-2.91,118.31,59.52,25.27,1.29%,114,97.2,-5.16,3351.76,0.25,51.86,3571.73,1697.29,-2.69,3.44,6.22,1.81,0.12
IF.CFE,沪深300期货,42030,2.31,2.06,1.1,1973.3,2102.9,1843.7,30.47,62.09,50,86.25,34.5458,46.7136,-24.3356,3605,3635.2,3571.4,3626.8,3620.6,0.01,1151397.18,1064911,107650,58.96,57.05,59.79,138,121,137,21.06,18.81,33.82,-3.8,-2.58,115.26,56.71,18.82,1.11%,114,97.2,-5.16,3383.18,0.94,31.78,367.99,1739.79,2.54,3.43,6.25,1.83,0.12
IF.CFE,沪深300期货,42031,-0.18,0.62,-0.41,1973.9,2103.6,1844.3,6.25,63.5,54.5,81.5,32.5833,43.8875,-22.6085,3639.4,3643,3508.2,3574.6,3585,-0.01,1420518.95,1322288,108253,51.47,53.44,57.69,130,123,135,33.67,-5.66,27.68,-5.2,-2.91,117.55,56.37,-0.33,1.33%,114,97.2,-5.16,3352.96,-0.89,45.93,3574.93,1743.68,0.22,3.43,6.26,1.83,0.11
IF.CFE,沪深300期货,42032,-1.48,-0.72,-1.82,1973.2,2103.1,1843.4,-17.02,60.34,56.45,68.12,28.4156,40.7932,-24.7551,3567.2,3603.6,3511,3523.6,3534.4,-0.02,1457800.42,1367393,108348,44.8,50.06,55.69,128,127,133,45.99,-19.65,21.88,-6.5,-3,119.31,56.47,-1.72,1.00%,114,97.2,-5.16,3305.74,-1.41,34.64,3525.32,1731.41,-0.73,3.45,6.24,1.73,0.12
IF.CFE,沪深300期货,42033,-1.95,-1.03,-2.6,1974.1,2102.6,1845.5,-66.85,58.72,57.2,61.74,23.4979,37.3341,-27.6725,3478,3516.6,3450.8,3493.6,3492.6,-0.01,1290211.66,1232704,102412,41.05,48.11,54.54,129,131,130,53.24,-105.49,13.82,-7.8,-3.1,123.66,57.37,11.8,0.98%,114,97.2,-5.16,3262.31,-1.31,55.75,3481.8,1711.37,-1.16,3.45,6.26,1.77,0.11
